date, pm25, pm10, o3, no2, so2, co
2020/11/1, 279, 275, 29, 39, 6, 20
2020/11/2, 212, 363, 15, 38, 8, 31
2020/11/3, 250, 393, 21, 30, 7, 24
2020/11/4, 343, 472, 34, 32, 7, 29
2020/11/5, 374, 374, 24, 33, 6, 22
2020/11/6, 314, 488, 48, 34, 7, 24
2020/11/7, 386, 515, 33, 40, 7, 29
2020/11/8, 392, 727, 25, 41, 5, 26
2020/11/9, 563, 695, 55, 34, 4, 28
2020/11/10, 531, 229, 33, 38, 4, 29
2020/11/11, 213, 255, 40, 50, 4, 30
2020/11/12, 216, 240, 46, 37, 2, 19
2020/11/13, 263, 512, 42, 44, 5, 23
2020/11/14, 438, 273, 1, 21, 7, 8
2020/11/15, 317, 91, 1, 17, 2, 7
2020/11/16, 168, 102, 1, 21, 3, 8
2020/11/17, 160, 141, 15, 29, 3, 15
2020/11/18, 198, 193, 47, 35, 3, 15
2020/11/19, 229, 155, 1, 29, 3, 9
2020/11/20, 232, 165, 1, 27, 3, 7
2020/11/21, 223, 194, 31, 29, 3, 18
2020/11/22, 213, 257, 46, 41, 4, 23
2020/11/23, 242, 317, 42, 59, 6, 25
2020/11/24, 283, 285, 31, 45, 4, 16
2020/11/25, 313, 119, 31, 22, 4, 8
2020/11/26, 184, 97, 26, 23, 3, 7
2020/11/27, 157, 139, 35, 28, 3, 10
2020/10/1, 135, 123, 38, 15, 2, 8
2020/10/2, 146, 140, 47, 17, 3, 10
2020/10/3, 166, , , , , 
2020/10/5, 128, 198, 41, 27, 5, 13
2020/10/6, 150, 169, 28, 24, 4, 13
2020/10/7, 169, 144, 56, 21, 5, 7
2020/10/8, 162, 177, 58, 27, 6, 8
2020/10/9, 167, 179, 51, 28, 5, 11
2020/10/10, 176, 202, 52, 29, 6, 12
2020/10/11, 174, 289, 60, 35, 6, 19
2020/10/12, 188, 280, 39, 40, 4, 20
2020/10/13, 198, 317, 57, 39, 5, 22
2020/10/14, 198, 268, 49, 32, 5, 16
2020/10/15, 204, 237, 39, 37, 6, 26
2020/10/16, 184, 280, 59, 40, 6, 18
2020/10/17, 196, 214, 38, 33, 5, 12
2020/10/18, 183, 188, 45, 32, 5, 10
2020/10/19, 176, 266, 44, 34, 7, 16
2020/10/20, 180, 348, 47, 44, 7, 25
2020/10/21, 190, 351, 40, 59, 8, 28
2020/10/22, 211, 346, 66, 49, 9, 27
2020/10/23, 269, 281, 43, 43, 6, 23
2020/10/24, 238, 336, 69, 53, 7, 26
2020/10/25, 244, 229, 51, 44, 7, 20
2020/10/26, 226, 236, 43, 36, 7, 19
2020/10/27, 240, 290, 45, 48, 8, 25
2020/10/28, 240, 398, 28, 57, 7, 32
2020/10/29, 314, 286, 29, 40, 4, 15
2020/10/30, 290, 331, 34, 34, 4, 13
2020/10/31, 328, 264, 36, 33, 6, 13
