date, pm25, pm10, o3, no2, so2, co
2020/11/1, 72, 41, 47, 17, 3, 7
2020/11/2, 91, 38, 30, 15, 3, 7
2020/11/3, 88, 47, 44, 18, 3, 7
2020/11/4, 98, 35, 40, 18, 3, 6
2020/11/5, 65, 47, 89, 29, 3, 5
2020/11/6, 99, 44, 49, 24, 4, 3
2020/11/7, 92, 48, 52, 17, 5, 4
2020/11/8, 98, 54, 53, 16, 4, 3
2020/11/9, 95, 55, 39, 19, 5, 4
2020/11/10, 93, 43, 43, 19, 3, 3
2020/11/11, 75, 31, 30, 22, 3, 2
2020/11/12, 62, 29, 29, 23, 3, 3
2020/11/13, 66, 31, 23, 21, 3, 3
2020/11/14, 70, 25, 27, 15, 3, 3
2020/11/15, 68, 31, 31, 18, 3, 2
2020/11/16, 70, 21, 28, 14, 2, 2
2020/11/17, 48, 18, 25, 19, 2, 1
2020/11/18, 40, 16, 12, 24, 3, 2
2020/11/19, 45, 15, 11, 18, 2, 2
2020/11/20, 44, 16, 30, 13, 2, 4
2020/11/21, 47, 16, 29, 17, 2, 4
2020/11/22, 45, 26, 29, 15, 2, 4
2020/11/23, 60, 43, 32, 20, 3, 4
2020/11/24, 89, 32, 31, 17, 2, 4
2020/11/25, 75, 34, 36, 28, 3, 6
2020/11/26, 78, 31, 41, 16, 3, 6
2020/11/27, 72, , , , , 
2020/10/1, 50, 27, 41, 9, 2, 4
2020/10/2, 60, 25, 33, 14, 2, 5
2020/10/3, 59, 27, 45, 11, 2, 5
2020/10/4, 65, 26, 32, 12, 2, 5
2020/10/5, 61, 25, 24, 12, 2, 6
2020/10/6, 61, 21, 21, 11, 2, 6
2020/10/7, 57, 25, 29, 13, 2, 6
2020/10/8, 64, 36, 38, 16, 2, 6
2020/10/9, 86, 38, 44, 17, 3, 5
2020/10/10, 82, 36, 58, 14, 2, 5
2020/10/11, 73, 33, 44, 15, 2, 5
2020/10/12, 69, 14, 26, 4, 2, 4
2020/10/13, 45, 25, 32, 11, 2, 5
2020/10/14, 53, 28, 37, 13, 2, 5
2020/10/15, 54, 33, 36, 17, 2, 5
2020/10/16, 67, 30, 32, 15, 2, 6
2020/10/17, 73, 26, 42, 12, 3, 6
2020/10/18, 65, 30, 38, 12, 2, 6
2020/10/19, 68, 32, 55, 14, 2, 6
2020/10/20, 73, 34, 38, 13, 3, 6
2020/10/21, 77, 32, 32, 12, 3, 6
2020/10/22, 68, 33, 30, 14, 3, 5
2020/10/23, 65, 44, 41, 18, 4, 6
2020/10/24, 78, 48, 44, 14, 3, 6
2020/10/25, 78, 40, 42, 17, 3, 6
2020/10/26, 70, 29, 38, 16, 2, 5
2020/10/27, 57, 25, 29, 15, 2, 5
2020/10/28, 56, 27, 26, 15, 2, 6
2020/10/29, 72, 37, 42, 17, 2, 7
2020/10/30, 91, 43, 40, 19, 3, 6
2020/10/31, 80, 38, 46, 19, 3, 6
2020/9/1, 91, 46, 69, 24, 3, 7
2020/9/2, 114, 53, 42, 27, 3, 8
2020/9/3, 127, 36, 30, 21, 2, 8
2020/9/4, 89, 22, 32, 19, 2, 7
2020/9/5, 60, 21, 25, 17, 2, 6
2020/9/6, 59, 12, 11, 14, 2, 5
2020/9/7, 35, 10, 8, 16, 3, 4
2020/9/8, 31, 13, 9, 16, 2, 3
2020/9/9, 34, 13, 8, 19, 3, 3
2020/9/10, 37, 7, 7, 15, 2, 3
2020/9/11, 22, 13, 26, 14, 2, 3
2020/9/12, 38, 12, 29, 12, 2, 4
2020/9/13, 39, 16, 31, 11, 2, 4
2020/9/14, 47, 10, 26, 10, 2, 4
2020/9/15, 32, 9, 10, 7, 2, 3
2020/9/16, 22, 10, 9, 6, 2, 3
2020/9/17, 26, 9, 9, 7, 2, 3
2020/9/18, 21, 7, 8, 10, 2, 3
2020/9/19, 17, 10, 13, 10, 2, 3
2020/9/20, 23, 8, 19, 14, 2, 3
2020/9/21, 24, 18, 28, 12, 2, 4
2020/9/22, 40, 19, 25, 14, 2, 4
2020/9/23, 45, 21, 40, 18, 2, 5
2020/9/24, 52, 23, 31, 15, 2, 5
2020/9/25, 61, 28, 38, 13, 2, 5
2020/9/26, 64, 22, 32, 8, 2, 4
2020/9/27, 50, 18, 33, 12, 2, 5
2020/9/28, 53, 19, 30, 14, 2, 5
2020/9/29, 55, 15, 18, 20, 2, 4
2020/9/30, 44, 21, 45, 10, 2, 4
2020/8/1, 15, 6, 18, 7, 2, 4
2020/8/2, 16, 6, 13, 14, 2, 4
2020/8/3, 21, 10, 6, 16, 2, 4
2020/8/4, 25, 9, 5, 12, 2, 4
2020/8/5, 20, 8, 9, 6, 2, 4
2020/8/6, 20, 10, 9, 7, 2, 3
2020/8/7, 21, 12, 7, 10, 2, 3
2020/8/8, 24, 9, 13, 11, 2, 3
2020/8/9, 20, 8, 12, 13, 2, 3
2020/8/10, 20, 6, 6, 11, 2, 3
2020/8/11, 17, 9, 8, 12, 2, 4
2020/8/12, 24, 11, 6, 11, 2, 4
2020/8/13, 27, 10, 9, 10, 2, 4
2020/8/14, 27, 8, 10, 13, 2, 3
2020/8/15, 23, 10, 15, 7, 2, 3
2020/8/16, 28, 12, 9, 8, 2, 4
2020/8/17, 38, 13, 11, 8, 2, 4
2020/8/18, 34, 7, 16, 9, 2, 4
2020/8/19, 20, 12, 10, 9, 2, 4
2020/8/20, 34, 27, 15, 15, 2, 4
2020/8/21, 68, 30, 19, 18, 3, 4
2020/8/22, 77, 16, 12, 14, 3, 4
2020/8/23, 49, 14, 21, 14, 3, 4
2020/8/24, 43, 16, 25, 12, 2, 4
2020/8/25, 40, 17, 15, 11, 2, 4
2020/8/26, 41, 24, 61, 21, 2, 5
2020/8/27, 60, 27, 37, 20, 2, 5
2020/8/28, 67, 30, 48, 21, 2, 6
2020/8/29, 75, 34, 37, 18, 2, 7
2020/8/30, 84, 20, 31, 13, 2, 5
2020/8/31, 50, 38, 81, 22, 3, 6
2020/7/1, 17, 8, 12, 14, 2, 3
2020/7/2, 24, 10, 8, 16, 2, 3
2020/7/3, 25, 12, 10, 14, 2, 3
2020/7/4, 25, 11, 12, 12, 2, 3
2020/7/5, 23, 10, 9, 12, 2, 3
2020/7/6, 18, 10, 11, 10, 2, 3
2020/7/7, 20, 12, 9, 10, 2, 3
2020/7/8, 25, 15, 11, 9, 2, 3
2020/7/9, 27, 15, 7, 11, 2, 3
2020/7/10, 26, 14, 9, 12, 2, 3
2020/7/11, 29, 9, 12, 11, 2, 3
2020/7/12, 21, 7, 14, 11, 2, 3
2020/7/13, 20, 10, 15, 13, 3, 3
2020/7/14, 26, 9, 14, 11, 2, 3
2020/7/15, 22, 8, 10, 9, 2, 3
2020/7/16, 17, 9, 8, 10, 2, 3
2020/7/17, 19, 7, 7, 11, 2, 3
2020/7/18, 15, 6, 11, 10, 2, 3
2020/7/19, 15, 7, 11, 14, 3, 3
2020/7/20, 19, 8, 11, 13, 2, 3
2020/7/21, 23, 7, 9, 9, 2, 3
2020/7/22, 18, 7, 10, 14, 3, 3
2020/7/23, 21, 5, 19, 12, 2, 3
2020/7/24, 18, 8, 16, 12, 3, 3
2020/7/25, 24, 8, 14, 10, 2, 3
2020/7/26, 21, 10, 10, 12, 2, 3
2020/7/27, 21, 7, 11, 10, 2, 3
2020/7/28, 17, 9, 11, 13, 2, 3
2020/7/29, 28, 9, 25, 9, 2, 3
2020/7/30, 24, 9, 20, 5, 2, 3
2020/7/31, 25, 7, 15, 6, 2, 3
2020/6/1, 24, 8, 6, 9, 2, 2
2020/6/2, 23, 9, 12, 9, 2, 2
2020/6/3, 24, 8, 11, 9, 2, 2
2020/6/4, 18, 9, 12, 8, 2, 2
2020/6/5, 21, 7, 14, 16, 2, 3
2020/6/6, 24, 11, 10, 14, 2, 3
2020/6/7, 31, 13, 9, 15, 2, 3
2020/6/8, 31, 12, 6, 13, 2, 2
2020/6/9, 26, 10, 12, 12, 2, 2
2020/6/10, 25, 7, 13, 9, 2, 2
2020/6/11, 21, 8, 13, 11, 2, 3
2020/6/12, 22, 8, 13, 5, 2, 3
2020/6/13, 18, 7, 16, 10, 2, 3
2020/6/14, 17, 9, 10, 12, 2, 3
2020/6/15, 16, 8, 9, 10, 2, 3
2020/6/16, 14, 7, 14, 13, 2, 3
2020/6/17, 17, 11, 13, 12, 2, 3
2020/6/18, 24, 11, 14, 12, 2, 2
2020/6/19, 24, 8, 10, 11, 2, 2
2020/6/20, 23, 7, 10, 9, 2, 2
2020/6/21, 16, 14, 11, 11, 2, 2
2020/6/22, 25, 11, 10, 11, 2, 2
2020/6/23, 21, 12, 11, 12, 2, 3
2020/6/24, 23, 9, 10, 8, 2, 2
2020/6/25, 19, 12, 10, 11, 2, 3
2020/6/26, 24, 8, 10, 13, 2, 3
2020/6/27, 21, 6, 14, 11, 2, 2
2020/6/28, 17, 8, 9, 14, 2, 2
2020/6/29, 22, 6, 11, 14, 3, 2
2020/6/30, 19, 5, 12, 11, 2, 3
2020/5/1, 52, 19, 14, 17, 3, 3
2020/5/2, 52, 15, 22, 12, 2, 2
2020/5/3, 42, 13, 12, 14, 2, 2
2020/5/4, 34, 12, 10, 13, 2, 2
2020/5/5, 31, 12, 7, 11, 2, 2
2020/5/6, 34, 10, 9, 10, 2, 2
2020/5/7, 29, 8, 6, 10, 2, 1
2020/5/8, 22, 8, 6, 10, 2, 1
2020/5/9, 21, 12, 15, 10, 2, 1
2020/5/10, 29, 13, 36, 14, 2, 2
2020/5/11, 37, 27, 54, 21, 2, 4
2020/5/12, 72, 36, 57, 12, 2, 5
2020/5/13, 87, 28, 50, 10, 2, 3
2020/5/14, 58, 18, 23, 9, 2, 3
2020/5/15, 46, 14, 15, 11, 2, 3
2020/5/16, 34, 12, 18, 9, 2, 3
2020/5/17, 30, 9, 17, 16, 2, 3
2020/5/18, 24, 12, 24, 16, 2, 4
2020/5/19, 31, 13, 29, 10, 2, 4
2020/5/20, 39, 13, 19, 16, 2, 4
2020/5/21, 37, 17, 14, 20, 2, 4
2020/5/22, 47, 8, 30, 9, 2, 4
2020/5/23, 29, 9, 32, 7, 2, 4
2020/5/24, 31, 11, 23, 17, 2, 4
2020/5/25, 32, 18, 11, 17, 2, 4
2020/5/26, 45, 25, 22, 22, 3, 5
2020/5/27, 62, 21, 26, 11, 2, 5
2020/5/28, 54, 16, 27, 15, 2, 3
2020/5/29, 47, 9, 10, 18, 2, 4
2020/5/30, 34, 11, 9, 9, 2, 3
2020/5/31, 27, 10, 7, 9, 2, 2
2020/4/1, 42, 17, 37, 9, 2, 4
2020/4/2, 47, 21, 38, 12, 2, 5
2020/4/3, 60, 11, 25, 14, 2, 6
2020/4/4, 43, 11, 23, 10, 2, 6
2020/4/5, 43, 14, 34, 17, 2, 6
2020/4/6, 51, 15, 23, 21, 2, 6
2020/4/7, 47, 20, 32, 15, 2, 4
2020/4/8, 56, 26, 39, 28, 3, 4
2020/4/9, 56, 24, 46, 11, 2, 4
2020/4/10, 56, 30, 40, 23, 2, 5
2020/4/11, 65, 14, 44, 9, 2, 5
2020/4/12, 44, 19, 46, 13, 3, 3
2020/4/13, 54, 28, 38, 21, 2, 4
2020/4/14, 64, 34, 56, 22, 3, 5
2020/4/15, 76, 24, 27, 20, 3, 5
2020/4/16, 64, 21, 23, 19, 2, 5
2020/4/17, 57, 23, 15, 24, 2, 5
2020/4/18, 60, 20, 17, 16, 2, 5
2020/4/19, 60, 14, 8, 14, 2, 4
2020/4/20, 49, 12, 7, 16, 3, 4
2020/4/21, 48, 9, 34, 12, 2, 5
2020/4/22, 35, 9, 30, 13, 2, 6
2020/4/23, 34, 16, 15, 15, 2, 6
2020/4/24, 47, 26, 13, 23, 2, 6
2020/4/25, 72, 57, 112, 28, 4, 7
2020/4/26, 137, 44, 37, 29, 3, 4
2020/4/27, 107, 28, 55, 18, 2, 3
2020/4/28, 60, 31, 42, 19, 2, 3
2020/4/29, 60, 29, 35, 23, 2, 3
