date, pm25, pm10, o3, no2, so2, co
2020/11/1, 44, 30, 15, 23, 1, 4
2020/11/2, 58, 19, 15, 13, , 7
2020/11/3, 49, 5, 22, 12, 1, 3
2020/11/4, 16, 10, 22, 18, 1, 3
2020/11/5, 26, 17, 6, 25, 1, 3
2020/11/6, 47, 25, 12, 27, 1, 5
2020/11/7, 60, 21, 30, 12, 1, 3
2020/11/8, 54, 8, 25, 7, 1, 2
2020/11/9, 19, 6, 22, 11, 1, 2
2020/11/10, 16, 6, 26, 7, 1, 2
2020/11/11, 13, 8, 21, 13, 1, 2
2020/11/12, 24, 12, 15, 24, 1, 3
2020/11/13, 40, 14, 27, 10, 1, 2
2020/11/14, 38, 16, 28, 14, 2, 3
2020/11/15, 44, 23, 20, 27, 1, 5
2020/11/16, 60, 23, 27, 17, 1, 3
2020/11/17, 59, 30, 16, 30, 1, 4
2020/11/18, 73, 29, 27, 20, 1, 3
2020/11/19, 64, 12, 27, 9, 1, 2
2020/11/20, 28, 5, 23, 6, 1, 2
2020/11/21, 9, 6, 25, 8, 1, 3
2020/11/22, 17, 9, 26, 8, 1, 2
2020/11/23, 22, 6, 25, 10, , 2
2020/11/24, 21, 8, 19, 11, , 2
2020/11/25, 18, 18, 9, 26, 1, 4
2020/11/26, 40, 12, 16, 13, , 3
2020/11/27, 32, , , , , 
2020/10/1, 1, 14, 35, 16, 2, 2
2020/10/2, 1, 16, 33, 16, 1, 3
2020/10/3, 1, 18, 37, 12, 1, 3
2020/10/4, 1, 27, 28, 16, 1, 3
2020/10/5, 1, 11, 30, 5, 1, 2
2020/10/6, 1, 9, 25, 6, 1, 2
2020/10/7, 1, 6, 25, 8, , 2
2020/10/8, 1, 5, 20, 10, , 2
2020/10/9, 1, 3, 24, 8, , 1
2020/10/10, 1, 6, 23, 2, , 1
2020/10/11, 1, 7, 21, 8, 1, 2
2020/10/12, 1, 8, 22, 13, 1, 2
2020/10/13, 1, 11, 27, 7, 1, 2
2020/10/14, 1, 12, 20, 9, 1, 2
2020/10/15, 13, 9, 28, 7, 1, 2
2020/10/16, 19, 11, 20, 8, 1, 2
2020/10/17, 22, 8, 27, 6, , 2
2020/10/18, 18, 11, 9, 16, 1, 3
2020/10/19, 23, 12, 29, 12, 1, 2
2020/10/20, 27, 12, 30, 10, 1, 2
2020/10/21, 31, 17, 24, 16, 1, 3
2020/10/22, 41, 13, 19, 14, 1, 3
2020/10/23, 23, 6, 26, 7, 1, 2
2020/10/24, 1, 7, 32, 6, 1, 3
2020/10/25, 1, 15, 21, 22, 1, 3
2020/10/26, 25, 13, 26, 11, 1, 3
2020/10/27, 26, 15, 16, 19, 1, 4
2020/10/28, 35, 16, 32, 12, 1, 3
2020/10/29, 42, 8, 26, 8, , 2
2020/10/30, 21, 8, 27, 7, , 
2020/10/31, 19, 16, 25, 14, 2, 3
2020/9/1, 16, 15, 19, 11, 1, 2
2020/9/2, 21, 13, 11, 7, 1, 1
2020/9/3, 19, 12, 22, 12, 1, 1
2020/9/4, 24, 13, 29, 9, 1, 1
2020/9/5, 31, 8, 16, 5, 1, 1
2020/9/6, 13, 16, 6, 10, 1, 2
2020/9/7, 15, , , , , 
2020/9/13, 14, 11, 21, 12, 1, 3
2020/9/14, 23, 11, 26, 10, 1, 2
2020/9/15, 23, 13, 25, 10, 1, 2
2020/9/16, 29, 16, 26, 15, 1, 3
2020/9/17, 32, 14, 11, 5, 1, 1
2020/9/18, 29, 10, 31, 6, 1, 2
2020/9/19, 19, 14, 21, 6, 1, 2
2020/9/20, 32, 13, 35, 6, 1, 2
2020/9/21, 36, 15, 36, 5, 1, 2
2020/9/22, 37, 12, 25, 7, , 2
2020/9/23, 22, 12, 24, 6, , 1
2020/9/24, 21, 6, 19, 7, , 1
2020/9/25, 7, 9, 18, 7, , 1
2020/9/26, 5, 10, 25, 6, , 2
2020/9/27, 13, 8, 31, 11, 1, 2
2020/9/28, 16, 8, 29, 7, 1, 1
2020/9/29, 12, 9, 35, 9, 1, 3
2020/9/30, 12, 12, 27, 10, 1, 2
2020/8/1, 21, 13, 32, 4, 1, 1
2020/8/2, 22, 17, 41, 16, 2, 3
2020/8/3, 34, 16, 36, 12, 1, 2
2020/8/4, 35, 20, 36, 13, 1, 2
2020/8/5, 44, 27, 22, 11, 1, 2
2020/8/6, 46, 27, 31, 12, 1, 2
2020/8/7, 64, 44, 25, 14, 2, 2
2020/8/8, 72, 31, 25, 9, 1, 2
2020/8/9, 62, 33, 65, 10, 2, 2
2020/8/10, 63, 12, 21, 6, 1, 
2020/8/11, 23, 20, 36, 11, 2, 1
2020/8/12, 40, 29, 63, 11, 9, 3
2020/8/13, 52, 23, 43, 8, 1, 2
2020/8/14, 49, 40, 108, 9, 4, 3
2020/8/15, 73, 31, 39, 7, 1, 2
2020/8/16, 60, 28, 43, 10, 1, 2
2020/8/17, 58, 23, 40, 9, 1, 2
2020/8/18, 50, 20, 68, 13, 6, 3
2020/8/19, 42, 17, 42, 12, 1, 2
2020/8/20, 39, 19, 66, 14, 5, 2
2020/8/21, 46, 29, 55, 10, 2, 2
2020/8/22, 59, 19, 26, 6, 1, 1
2020/8/23, 33, 12, 27, 7, 1, 1
2020/8/24, 26, 16, 47, 10, 1, 2
2020/8/25, 30, 17, 42, 14, 2, 2
2020/8/26, 35, 11, 10, 12, 2, 1
2020/8/27, 17, 13, 9, 9, 1, 1
2020/8/28, 23, 12, 18, 7, 1, 1
2020/8/29, 26, 8, 21, 6, 1, 1
2020/8/30, 14, 12, 31, 9, 1, 1
2020/8/31, 25, 9, 20, 7, 1, 1
2020/7/1, 23, 13, 41, 7, 1, 2
2020/7/2, 35, 15, 28, 13, 1, 3
2020/7/3, 33, 10, 14, 6, , 1
2020/7/4, 15, 16, 40, 5, 1, 2
2020/7/5, 33, 12, 10, 5, , 1
2020/7/6, 10, 15, 7, 3, , 
2020/7/7, 23, 13, 30, 5, , 1
2020/7/8, 19, 10, 13, 9, , 1
2020/7/9, 10, 12, 8, 7, , 1
2020/7/10, 26, 15, 11, 3, , 
2020/7/11, 28, 12, 32, 3, 1, 1
2020/7/12, 26, 13, 23, 10, 1, 2
2020/7/13, 27, 13, 14, 13, 1, 2
2020/7/14, 20, 9, 13, 11, , 1
2020/7/15, 13, 8, 22, 9, 1, 2
2020/7/16, 19, 11, 10, 9, , 1
2020/7/17, 19, 10, 6, 11, , 2
2020/7/18, 14, 15, 35, 8, 1, 2
2020/7/19, 31, 24, 61, 14, 1, 3
2020/7/20, 49, 23, 27, 16, 1, 2
2020/7/21, 41, 19, 26, 13, 1, 2
2020/7/22, 38, 15, 20, 9, 1, 2
2020/7/23, 20, 23, 43, 12, 2, 3
2020/7/24, 45, 22, 8, 9, 1, 2
2020/7/25, 32, 12, 14, 7, 1, 2
2020/7/26, 13, 10, 11, 7, , 1
2020/7/27, 12, 16, 10, 9, , 2
2020/7/28, 26, 9, 16, 7, , 1
2020/7/29, 12, 12, 21, 9, 1, 1
2020/7/30, 23, 24, 26, 22, 1, 3
2020/7/31, 42, 10, 34, 5, 1, 1
2020/6/1, 25, 19, 27, 16, 2, 4
2020/6/2, 42, 21, 52, 15, 2, 3
2020/6/3, 51, 36, 64, 10, 1, 3
2020/6/4, 79, 30, 55, 13, 1, 2
2020/6/5, 67, 31, 53, 8, 1, 2
2020/6/6, 69, 19, 43, 4, 1, 2
2020/6/7, 43, 19, 52, 11, 1, 3
2020/6/8, 44, 20, 44, 11, 1, 2
2020/6/9, 49, 10, 36, 6, 1, 1
2020/6/10, 30, 10, 18, 4, , 
2020/6/11, 17, 11, 23, 8, 1, 1
2020/6/12, 22, 10, 22, 9, , 1
2020/6/13, 15, 19, 21, 10, 1, 2
2020/6/14, 41, 21, 40, 20, 1, 3
2020/6/15, 48, 20, 48, 11, 1, 2
2020/6/16, 50, 12, 44, 8, 1, 1
2020/6/17, 30, 16, 36, 10, 1, 2
2020/6/18, 35, 10, 34, 7, , 1
2020/6/19, 14, 9, 45, 9, 1, 3
2020/6/20, 22, 11, 29, 6, 1, 1
2020/6/21, 23, 12, 26, 7, 1, 1
2020/6/22, 22, 14, 30, 14, 1, 3
2020/6/23, 21, 14, 21, 8, 1, 1
2020/6/24, 29, 8, 15, 10, 1, 2
2020/6/25, 21, 26, 57, 19, 1, 3
2020/6/26, 51, 40, 44, 17, 1, 4
2020/6/27, 65, 18, 35, 10, 1, 3
2020/6/28, 27, 12, 45, 10, 1, 2
2020/6/29, 30, 21, 28, 11, 1, 2
2020/6/30, 37, 17, 17, 4, , 1
2020/5/1, 59, 40, 48, 13, 2, 3
2020/5/2, 88, 31, 40, 6, 1, 2
2020/5/3, 68, 13, 34, 7, 1, 2
2020/5/4, 29, 12, 46, 5, 1, 2
2020/5/5, 30, 11, 31, 4, , 1
2020/5/6, 24, 8, 40, 4, , 1
2020/5/7, 14, 9, 42, 10, 1, 2
2020/5/8, 34, 10, 39, 4, , 1
2020/5/9, 26, 8, 32, 2, , 1
2020/5/10, 16, 12, 36, 11, 1, 2
2020/5/11, 32, 16, 50, 10, 1, 2
2020/5/12, 40, 24, 58, 9, 1, 2
2020/5/13, 57, 12, 48, 9, 2, 2
2020/5/14, 39, 14, 46, 11, 1, 2
2020/5/15, 45, 13, 37, 8, 1, 2
2020/5/16, 29, 14, 50, 8, 2, 2
2020/5/17, 40, 17, 31, 10, 1, 2
2020/5/18, 43, 7, 28, 8, , 2
2020/5/19, 11, 6, 20, 6, , 1
2020/5/20, 12, 9, 19, 8, , 1
2020/5/21, 17, 10, 23, 8, , 
2020/5/22, 21, 8, 34, 9, 1, 3
2020/5/23, 17, 10, 44, 8, 1, 2
2020/5/24, 19, 10, 37, 11, 1, 2
2020/5/25, 24, 16, 29, 19, 1, 3
2020/5/26, 37, 17, 47, 11, 1, 2
2020/5/27, 42, 13, 48, 10, 1, 2
2020/5/28, 37, 11, 44, 10, 1, 2
2020/5/29, 32, 15, 42, 11, 1, 2
2020/5/30, 39, 11, 37, 6, 1, 1
2020/5/31, 25, 14, 29, 12, 1, 2
2020/4/1, 51, 9, 41, 4, 1, 1
2020/4/2, 18, 13, 34, 15, 1, 3
2020/4/3, 37, 19, 48, 11, 1, 3
2020/4/4, 55, 13, 36, 6, , 2
2020/4/5, 37, 10, 40, 10, 1, 2
2020/4/6, 30, 15, 42, 12, 1, 3
2020/4/7, 47, 21, 58, 17, 1, 3
2020/4/8, 60, 16, 46, 11, 1, 2
2020/4/9, 47, 9, 36, 5, , 
2020/4/10, 26, 8, 39, 7, 1, 2
2020/4/11, 25, 11, 37, 4, 1, 2
2020/4/12, 33, 5, 36, 6, , 
2020/4/13, 12, 8, 36, 4, , 1
2020/4/14, 15, 12, 41, 15, 1, 3
2020/4/15, 32, 16, 39, 8, 1, 2
2020/4/16, 48, 12, 32, 11, 2, 2
2020/4/17, 34, 13, 33, 9, 1, 3
2020/4/18, 17, 6, 37, 7, 1, 3
2020/4/19, 10, 6, 32, 8, , 1
2020/4/20, 17, 17, 25, 27, 2, 4
2020/4/21, 46, 10, 37, 9, 1, 2
2020/4/22, 33, 6, 37, 8, 1, 2
2020/4/23, 20, 6, 39, 9, 1, 2
2020/4/24, 18, 9, 48, 9, 1, 2
2020/4/25, 26, 18, 61, 4, 1, 2
2020/4/26, 55, 14, 42, 9, 1, 2
2020/4/27, 42, 15, 37, 12, 1, 3
2020/4/28, 37, 13, 49, 8, 1, 2
2020/4/29, 40, 24, 70, 12, 1, 3
2020/4/30, 62, 22, 49, 6, 1, 2
2020/3/1, 43, 15, 27, 13, 1, 2
2020/3/2, 32, 8, 13, 13, 1, 2
2020/3/3, 25, 14, 23, 16, 1, 2
2020/3/4, 34, 10, 34, 9, 1, 2
2020/3/5, 27, 10, 36, 9, 1, 2
2020/3/6, 26, 11, 29, 11, 1, 2
2020/3/7, 37, 13, 28, 7, , 2
2020/3/8, 34, 10, 26, 12, 1, 2
2020/3/9, 23, 15, 26, 20, 1, 3
2020/3/10, 15, 11, 32, 13, 1, 3
2020/3/11, 1, 7, 31, 12, 1, 2
2020/3/12, 1, 13, 35, 17, 1, 3
2020/3/13, 1, 10, 30, 9, , 2
2020/3/14, 1, 7, 32, 9, 1, 2
2020/3/15, 1, 6, 30, 12, 1, 2
2020/3/16, 1, 15, 28, 14, 1, 3
2020/3/17, 1, 13, 36, 18, 1, 3
2020/3/18, 1, 16, 35, 17, 2, 2
2020/3/19, 17, 7, 32, 5, 1, 2
2020/3/20, 9, 12, 32, 17, 1, 3
2020/3/21, 1, 19, 50, 14, 1, 4
2020/3/22, 1, 12, 36, 10, 1, 2
2020/3/23, 1, 8, 33, 6, , 2
2020/3/24, 1, 9, 32, 11, 1, 3
2020/3/25, 1, 11, 30, 24, 2, 3
2020/3/26, 1, 16, 33, 21, 1, 4
2020/3/27, 1, 14, 31, 8, 1, 2
2020/3/28, 1, 5, 26, 6, , 2
2020/3/29, 1, 11, 23, 14, 1, 2
2020/3/30, 26, 19, 16, 18, 1, 2
2020/3/31, 59, 22, 22, 16, 1, 2
2020/2/1, 8, 6, 34, 6, 2, 3
2020/2/2, 18, 16, 26, 23, 1, 4
2020/2/3, 55, 9, 26, 16, 2, 3
2020/2/4, 25, 10, 29, 15, 1, 3
2020/2/5, 36, 2, 27, 6, , 
2020/2/6, 13, 11, 21, 23, , 5
