date, pm25, pm10, o3, no2, so2
2020/11/1, 103, 69, 23, 17, 5
2020/11/2, 91, 63, 22, 16, 6
2020/11/3, 75, 57, 22, 15, 5
2020/11/4, 76, 57, 23, 16, 6
2020/11/5, 80, 59, 26, 14, 5
2020/11/6, 90, 65, 21, 16, 7
2020/11/7, 89, 79, 14, 11, 5
2020/11/8, 79, 74, 20, 14, 6
2020/11/9, 73, 65, 16, 11, 6
2020/11/10, 63, 56, 17, 15, 5
2020/11/11, 66, 59, 24, 15, 5
2020/11/12, 86, 71, 17, 14, 6
2020/11/13, 75, 69, 18, 12, 6
2020/11/14, 66, 52, 21, 8, 6
2020/11/15, 38, 52, 20, 13, 7
2020/11/16, 55, 63, 19, 16, 6
2020/11/17, 48, 65, 19, 16, 5
2020/11/18, 77, 59, 20, 6, 5
2020/11/19, 50, 57, 23, 11, 6
2020/11/20, 81, 72, 16, 11, 7
2020/11/21, 63, 72, 14, 17, 6
2020/11/22, 55, 63, 21, 9, 5
2020/11/23, 63, 61, 21, 4, 5
2020/11/24, 63, 59, 20, 16, 6
2020/11/25, 93, 68, , 11, 6
2020/11/26, 99, 82, , 9, 6
2020/11/27, 59, , , , 
2020/10/1, 96, 107, 21, 16, 7
2020/10/2, 82, 90, 20, 14, 6
2020/10/3, 87, 78, 18, 10, 6
2020/10/4, 91, 66, 22, 9, 6
2020/10/5, 89, 65, 21, 13, 6
2020/10/6, 90, 69, 21, 14, 6
2020/10/7, 84, 74, 17, 8, 6
2020/10/8, 111, 65, 20, 6, 6
2020/10/9, 84, 65, 23, 7, 5
2020/10/10, 45, 63, 25, 7, 6
2020/10/11, 43, 59, 26, 8, 6
2020/10/12, 62, 81, 28, 9, 6
2020/10/13, 63, 128, 22, 15, 6
2020/10/14, 42, 65, 21, 15, 7
2020/10/15, 29, 59, 22, 14, 8
2020/10/16, 17, 47, 20, 13, 4
2020/10/17, 16, 49, 21, 17, 6
2020/10/18, 23, 54, 23, 18, 5
2020/10/19, 29, 53, 22, 15, 5
2020/10/20, 27, 52, 18, 17, 5
2020/10/21, 32, 54, 25, 15, 5
2020/10/22, 60, 57, 28, 7, 5
2020/10/23, 57, 55, 19, 18, 7
2020/10/24, 53, 68, 18, 24, 7
2020/10/25, 55, 76, 20, 18, 6
2020/10/26, 53, 75, 21, 17, 5
2020/10/27, 49, 67, 27, 15, 7
2020/10/28, 35, 60, 24, 16, 7
2020/10/29, 56, 56, 26, 10, 6
2020/10/30, 59, 57, 23, 20, 5
2020/10/31, 78, 66, 28, 17, 5
2020/9/1, 121, 122, 16, 11, 6
2020/9/2, 85, 87, 19, 13, 5
2020/9/3, 78, 77, 26, 9, 4
2020/9/4, 60, 76, 25, 11, 5
2020/9/5, 78, 115, 18, 9, 4
2020/9/6, 91, 107, 24, 12, 3
2020/9/7, 78, 84, 19, 10, 5
2020/9/8, 94, 78, 23, 15, 7
2020/9/9, 136, 87, 34, 11, 3
2020/9/10, 147, 99, 24, 7, 4
2020/9/11, 117, 81, 34, 9, 4
2020/9/12, 117, 81, 26, 16, 5
2020/9/13, 86, 91, 19, 13, 5
2020/9/14, 90, 91, 24, 14, 5
2020/9/15, 65, 83, 16, 17, 4
2020/9/16, 65, 85, 21, 12, 3
2020/9/17, 62, 75, 33, 9, 3
2020/9/18, 62, 60, 22, 9, 5
2020/9/19, 77, 63, 24, 11, 5
2020/9/20, 102, 65, 20, 7, 5
2020/9/21, 92, 63, 21, 12, 5
2020/9/22, 79, 62, 19, 10, 6
2020/9/23, 76, 67, 26, 14, 4
2020/9/24, 86, 75, 37, 11, 4
2020/9/25, 77, 79, 31, 11, 5
2020/9/26, 89, 69, 32, 10, 3
2020/9/27, 94, 65, 22, 11, 5
2020/9/28, 74, 66, 27, 13, 6
2020/9/29, 99, 91, 14, 18, 7
2020/9/30, 98, 111, 15, 14, 7
2020/8/1, 126, 133, , 7, 4
2020/8/2, 117, 139, , 9, 3
