date, pm25, pm10, o3, no2, so2, co
2020/12/1, 30, 13, 1, 14, , 3
2020/12/2, 49, 15, 11, 14, , 2
2020/12/3, 54, 5, 15, 4, , 2
2020/12/4, 21, , , , , 
2020/11/1, 27, 8, 26, 4, , 2
2020/11/2, 20, 15, 25, 8, , 2
2020/11/3, 22, 12, 23, 13, , 2
2020/11/4, 23, 16, 17, 22, , 3
2020/11/5, 51, 27, 11, 17, , 3
2020/11/6, 65, 24, 5, 14, , 4
2020/11/7, 71, 29, 3, 13, , 5
2020/11/8, 74, 22, 5, 17, , 4
2020/11/9, 59, 33, 1, 17, , 5
2020/11/10, 82, 25, 8, 13, , 2
2020/11/11, 62, 11, 22, 11, , 2
2020/11/12, 34, 16, 14, 15, , 2
2020/11/13, 41, 15, 17, 12, , 2
2020/11/14, 44, 11, 27, 5, , 2
2020/11/15, 35, 13, 26, 5, , 1
2020/11/16, 23, 14, 20, 7, , 2
2020/11/17, 26, 14, 16, 11, , 2
2020/11/18, 32, 14, 26, 5, , 2
2020/11/19, 25, 12, 25, 15, , 2
2020/11/20, 27, 14, 21, 9, , 2
2020/11/21, 35, 12, 22, 5, , 2
2020/11/22, 23, 13, 18, 18, , 2
2020/11/23, 27, 21, 6, 18, , 2
2020/11/24, 66, 20, 5, 15, , 3
2020/11/25, 64, 18, 11, 21, , 3
2020/11/26, 42, 16, 13, 15, , 3
2020/11/27, 56, 31, 9, 13, , 3
2020/11/28, 82, 25, 10, 9, , 3
2020/11/29, 78, 40, 19, 14, , 3
2020/11/30, 106, 14, 25, 6, , 2
2020/10/1, 30, 10, 16, 8, , 2
2020/10/2, 30, 18, 15, 6, , 2
2020/10/3, 55, 7, 22, 4, , 2
2020/10/4, 16, 5, 18, 8, , 2
2020/10/5, 15, 10, 20, 7, , 2
2020/10/6, 15, 12, 23, 4, , 2
2020/10/7, 21, 10, 24, 7, , 2
2020/10/8, 20, 10, 25, 13, , 2
2020/10/9, 16, 7, 24, 5, , 2
2020/10/10, 13, 8, 27, 9, , 3
2020/10/11, 23, 10, 24, 12, , 3
2020/10/12, 19, 11, 14, 9, , 2
2020/10/13, 35, 13, 21, 8, , 2
2020/10/14, 31, 8, 20, 6, , 2
2020/10/15, 23, 10, 22, 12, , 3
2020/10/16, 34, 19, 17, 17, , 4
2020/10/17, 56, 16, 25, 13, , 3
2020/10/18, 40, 11, 15, 17, , 2
2020/10/19, 35, 15, 14, 13, , 1
2020/10/20, 50, 11, 24, 6, , 
2020/10/21, 37, 15, 21, 9, , 1
2020/10/22, 24, 17, 21, 15, 1, 3
2020/10/23, 43, 12, 19, 8, , 2
2020/10/24, 19, 7, 26, 8, , 2
2020/10/25, 17, 8, 20, 8, , 2
2020/10/26, 24, 10, 17, 11, , 2
2020/10/27, 28, 9, 21, 8, , 2
2020/10/28, 23, 13, 22, 7, , 2
2020/10/29, 28, 20, 23, 3, , 2
2020/10/30, 32, 12, 25, 7, , 2
2020/10/31, 29, 15, 19, 7, , 2
2020/9/1, 27, 21, 33, 14, , 3
2020/9/2, 33, 17, 20, 16, , 3
2020/9/3, 48, 14, 24, 5, , 2
2020/9/4, 27, 15, 20, 4, , 2
2020/9/5, 25, 10, 25, 5, , 2
2020/9/6, 25, 14, 26, 12, , 2
2020/9/7, 27, 12, 14, 8, , 2
2020/9/8, 26, 18, 17, 6, , 2
2020/9/9, 30, 20, 26, 13, , 3
2020/9/10, 31, 22, 30, 14, , 3
2020/9/11, 46, 18, 22, 9, , 2
2020/9/12, 38, 18, 23, 9, , 3
2020/9/13, 35, 21, 40, 17, , 3
2020/9/14, 52, 33, 49, 19, , 5
2020/9/15, 81, 38, 38, 9, , 3
2020/9/16, 83, 15, 23, 3, , 2
2020/9/17, 17, 12, 28, 3, , 2
2020/9/18, 20, 14, 29, 5, , 2
2020/9/19, 26, 23, 35, 4, , 2
2020/9/20, 58, 28, 33, 16, , 3
2020/9/21, 59, 31, 37, 19, , 4
2020/9/22, 68, 26, 24, 15, , 3
2020/9/23, 65, 10, 25, 12, , 2
2020/9/24, 16, 5, 25, 9, , 2
2020/9/25, 11, 11, 26, 5, , 2
2020/9/26, 20, 7, 22, 4, , 2
2020/9/27, 22, 14, 9, 11, , 3
2020/9/28, 46, 12, 23, 7, , 2
2020/9/29, 21, 13, 14, 13, , 3
2020/9/30, 41, 10, 17, 8, , 2
2020/8/1, 37, 12, 28, 4, , 2
2020/8/2, 23, 9, 25, 9, , 2
2020/8/3, 21, 7, 30, 6, , 2
2020/8/4, 21, 12, 42, 8, , 2
2020/8/5, 30, 17, 38, 15, , 3
2020/8/6, 42, 18, 78, 8, , 3
2020/8/7, 48, 23, 76, 10, , 4
2020/8/8, 59, 27, 57, 4, , 3
2020/8/9, 63, 18, 66, 5, , 3
2020/8/10, 56, 25, 73, 5, , 3
2020/8/11, 60, 21, 75, 7, , 3
2020/8/12, 60, 25, 63, 8, , 3
2020/8/13, 58, 35, 46, 8, , 3
2020/8/14, 82, 23, 43, 4, , 3
2020/8/15, 68, 17, 48, 4, , 3
2020/8/16, 51, 20, 34, 12, , 3
2020/8/17, 51, 15, 27, 7, , 2
2020/8/18, 38, 12, 34, 8, , 2
2020/8/19, 28, 9, 27, 7, , 3
2020/8/20, 19, 18, 30, 7, , 3
2020/8/21, 38, 21, 28, 2, , 2
2020/8/22, 41, 17, 25, 2, , 2
2020/8/23, 33, 11, 26, 5, , 2
2020/8/24, 23, 12, 23, 7, , 2
2020/8/25, 29, 17, 25, 2, , 3
2020/8/26, 38, 20, 22, 8, , 3
2020/8/27, 35, 11, 20, 6, , 2
