date, pm25, pm10, o3, no2, so2, co
2020/11/1, 15, 27, 27, 4, , 
2020/11/2, 16, 40, 24, 11, , 
2020/11/3, 26, 34, 18, 11, , 
2020/11/4, 37, 34, 13, 9, , 
2020/11/5, 51, 36, 8, 11, , 
2020/11/6, 46, 38, 6, 8, , 
2020/11/7, 53, 32, 12, 9, , 
2020/11/8, 43, 47, 7, 17, , 
2020/11/9, 47, 41, 13, 19, , 
2020/11/10, 53, 23, 10, 12, , 
2020/11/11, 42, 27, 22, 12, , 
2020/11/12, 32, 30, 14, 15, , 
2020/11/13, 46, 27, 23, 8, , 
2020/11/14, 42, 19, 28, 2, , 
2020/11/15, 28, 22, 26, 6, , 
2020/11/16, 26, 28, 19, 12, , 
2020/11/17, 28, 37, 14, 16, , 
2020/11/18, 39, 22, 25, 4, , 
2020/11/19, 25, 25, 15, 17, , 
2020/11/20, 42, 29, 19, 17, , 
2020/11/21, 54, 33, 14, 21, , 
2020/11/22, 63, 30, 13, 21, , 
2020/11/23, 63, 37, 4, 19, , 
2020/11/24, 62, 43, 5, 19, , 
2020/11/25, 70, 56, 2, 18, , 
2020/11/26, 81, 43, , 12, , 
2020/11/27, 78, , , , , 
2020/10/1, 32, 26, 16, 12, , 
2020/10/2, 26, 26, 19, 8, , 
2020/10/3, 21, 20, 24, 3, , 
2020/10/4, 20, 24, 23, 6, , 
2020/10/5, 15, 31, 23, 4, , 
2020/10/6, 18, 38, 21, 4, , 
2020/10/7, 23, 37, 19, 6, , 
2020/10/8, 28, 21, 19, 5, , 
2020/10/9, 22, 17, 24, 4, , 
2020/10/10, 22, 13, 18, 3, , 
2020/10/11, 19, 23, 18, 9, , 
2020/10/12, 26, 17, 14, 11, , 
2020/10/13, 25, 21, 14, 6, , 
2020/10/14, 34, 20, 13, 5, , 
2020/10/15, 31, 22, 10, 7, , 
2020/10/16, 39, 29, 9, 8, , 
2020/10/17, 58, 31, 21, 10, , 
2020/10/18, 51, 39, 20, 12, , 
2020/10/19, 54, 22, 12, 13, , 
2020/10/20, 38, 22, 27, 6, , 
2020/10/21, 24, 35, 19, 12, , 
