date, pm25, pm10, o3, no2, so2, co
2020/11/1, 47, 18, , , , 
2020/11/2, 47, 18, , , , 
2020/11/3, 46, 14, , , , 
2020/11/4, 29, 17, , , , 
2020/11/5, 36, 30, , , , 
2020/11/6, 62, 24, , , , 
2020/11/7, 50, 24, , , , 
2020/11/8, 50, 20, , , , 
2020/11/9, 25, 20, , , , 
2020/11/10, 21, 15, , , , 
2020/11/11, 21, 13, , , , 
2020/11/12, 23, 20, , , , 
2020/11/13, 42, 19, , , , 
2020/11/14, 36, 19, , , , 
2020/11/15, 44, 12, , , , 
2020/11/16, 32, 19, , , , 
2020/11/17, 44, 19, , , , 
2020/11/18, 42, 20, , , , 
2020/11/19, 50, 10, , , , 
2020/11/20, 23, 10, , , , 
2020/11/21, 25, 10, , , , 
2020/11/22, 21, 10, , , , 
2020/11/23, 23, 13, , , , 
2020/11/24, 28, 16, , , , 
2020/11/25, 30, 14, , , , 
2020/11/26, 30, 16, , , , 
2020/11/27, 34, 15, , , , 
2020/10/1, 25, 12, , , , 
2020/10/2, 21, 18, , , , 
2020/10/3, 17, , , , , 
2020/10/5, 9, 12, , , , 
2020/10/6, 21, 12, , , , 
2020/10/7, 21, 16, , , , 
2020/10/8, 30, 10, , , , 
2020/10/9, 17, , , , , 
2020/10/12, 13, 13, , , , 
2020/10/13, 21, 14, , , , 
2020/10/14, 23, 15, , , , 
2020/10/15, 25, 11, , , , 
2020/10/16, 21, 13, , , , 
2020/10/17, 21, 10, , , , 
2020/10/18, 17, 11, , , , 
2020/10/19, 21, 13, , , , 
2020/10/20, 25, 26, , , , 
2020/10/21, 46, 16, , , , 
2020/10/22, 24, 18, , , , 
2020/10/23, 34, 15, , , , 
2020/10/24, 27, 13, , , , 
2020/10/25, 30, 12, , , , 
2020/10/26, 25, 17, , , , 
2020/10/27, 38, 18, , , , 
2020/10/28, 42, 17, , , , 
2020/10/29, 42, 19, , , , 
2020/10/30, 48, 11, , , , 
2020/10/31, 25, 21, , , , 
2020/9/1, 5, 3, , , , 
2020/9/2, 5, 3, , , , 
2020/9/3, 5, 4, , , , 
2020/9/4, 9, 7, , , , 
2020/9/5, 17, 4, , , , 
2020/9/6, 9, 3, , , , 
2020/9/7, 9, 3, , , , 
2020/9/8, 5, 3, , , , 
2020/9/9, 5, 4, , , , 
2020/9/10, 9, 5, , , , 
2020/9/11, 9, 3, , , , 
2020/9/12, 5, 3, , , , 
2020/9/13, 9, 3, , , , 
2020/9/14, 5, 4, , , , 
2020/9/15, 9, 6, , , , 
2020/9/16, 9, 31, , , , 
2020/9/17, 50, 27, , , , 
2020/9/18, 38, 25, , , , 
2020/9/19, 30, , , , , 
2020/9/21, 40, 24, , , , 
2020/9/22, 38, 17, , , , 
2020/9/23, 27, 10, , , , 
2020/9/24, 17, 10, , , , 
2020/9/25, 19, 10, , , , 
2020/9/26, 17, 12, , , , 
2020/9/27, 27, 12, , , , 
2020/9/28, 30, 16, , , , 
2020/9/30, 19, 13, , , , 
2020/8/1, 30, 10, , , , 
2020/8/2, 17, 8, , , , 
2020/8/3, 13, 7, , , , 
2020/8/4, 13, 10, , , , 
2020/8/5, 17, 9, , , , 
2020/8/6, 13, 8, , , , 
2020/8/7, 9, 12, , , , 
2020/8/8, 13, 10, , , , 
2020/8/9, 13, 14, , , , 
2020/8/10, 21, 13, , , , 
2020/8/11, 17, 12, , , , 
2020/8/12, 13, 13, , , , 
2020/8/13, 13, 8, , , , 
2020/8/14, 9, 9, , , , 
2020/8/15, 9, 10, , , , 
2020/8/16, 11, 6, , , , 
2020/8/17, 7, 6, , , , 
2020/8/18, 5, 4, , , , 
2020/8/19, 5, 5, , , , 
2020/8/20, 7, 13, , , , 
2020/8/21, 25, 12, , , , 
2020/8/22, 27, 7, , , , 
2020/8/23, 15, 5, , , , 
2020/8/24, 9, 3, , , , 
2020/8/25, 7, , , , , 
2020/8/31, 5, 3, , , , 
2020/7/1, 5, 1, , , , 
2020/7/6, 9, , , , , 
2020/7/9, 13, 11, , , , 
2020/7/10, 9, 11, , , , 
2020/7/11, 13, 10, , , , 
2020/7/12, 17, 8, , , , 
2020/7/13, 13, 9, , , , 
2020/7/15, 13, 7, , , , 
2020/7/16, 9, 7, , , , 
2020/7/17, 11, 23, , , , 
2020/7/18, 25, 10, , , , 
2020/7/19, 17, 9, , , , 
2020/7/20, 17, 12, , , , 
2020/7/21, 25, 12, , , , 
2020/7/22, 23, 15, , , , 
2020/7/23, 21, 10, , , , 
2020/7/24, 17, 8, , , , 
2020/7/25, 13, 9, , , , 
2020/7/26, 13, 14, , , , 
2020/7/27, 25, , , , , 
2020/7/29, 19, 11, , , , 
2020/7/30, 17, 11, , , , 
2020/7/31, 17, 21, , , , 
2020/6/1, 5, 9, , , , 
2020/6/2, 5, 8, , , , 
2020/6/3, 5, 6, , , , 
2020/6/4, 5, 5, , , , 
2020/6/5, 5, 6, , , , 
2020/6/6, 5, 4, , , , 
2020/6/8, 5, 7, , , , 
2020/6/9, 9, 8, , , , 
2020/6/10, 5, 5, , , , 
2020/6/11, 5, , , , , 
2020/6/14, 5, 2, , , , 
2020/6/15, 5, 3, , , , 
2020/6/16, 5, 3, , , , 
2020/6/20, 5, 2, , , , 
2020/6/21, 5, 4, , , , 
2020/6/22, 7, 6, , , , 
2020/6/23, 9, 7, , , , 
2020/6/24, 9, 9, , , , 
2020/6/25, 7, 7, , , , 
2020/6/26, 5, 4, , , , 
2020/6/27, 5, 3, , , , 
2020/6/28, 5, 2, , , , 
2020/5/1, 9, 3, , , , 
2020/5/2, 9, 2, , , , 
2020/5/3, 5, 3, , , , 
2020/5/4, 5, 4, , , , 
2020/5/5, 5, 5, , , , 
2020/5/6, 9, 5, , , , 
2020/5/7, 9, 4, , , , 
2020/5/8, 5, 3, , , , 
