date, pm25, o3, no2, co
2020/11/1, 9, , , 
2020/11/2, 10, , , 
2020/11/3, 27, , , 
2020/11/4, 32, , , 
2020/11/5, 28, , , 
2020/11/6, 37, , , 
2020/11/7, 59, , , 
2020/11/8, 72, , , 
2020/11/9, 73, , , 
2020/11/10, 33, , , 
2020/11/11, 12, , , 
2020/11/12, 12, , , 
2020/11/13, 15, , , 
2020/11/14, 27, , , 
2020/11/15, 22, , , 
2020/11/16, 20, , , 
2020/11/17, 21, , , 
2020/11/18, 16, , , 
2020/11/19, 19, , , 
2020/11/20, 34, , , 
2020/11/21, 49, , , 
2020/11/22, 21, , , 
2020/11/23, 22, , , 
2020/11/24, 25, , , 
2020/11/25, 23, , , 
2020/11/26, 24, , , 
2020/11/27, 35, , , 
2020/10/1, 16, , , 
2020/10/2, 18, , , 
2020/10/3, 18, , , 
2020/10/4, 19, , , 
2020/10/5, 24, , , 
2020/10/6, 22, , , 
2020/10/7, 25, , , 
2020/10/8, 11, , , 
2020/10/9, 21, , , 
2020/10/10, 26, , , 
2020/10/11, 35, , , 
2020/10/12, 16, , , 
2020/10/13, 7, , , 
2020/10/14, 35, , , 
2020/10/15, 30, , , 
2020/10/16, 20, , , 
2020/10/17, 16, , , 
2020/10/18, 34, , , 
2020/10/19, 24, , , 
2020/10/20, 13, , , 
2020/10/21, 12, , , 
2020/10/22, 33, , , 
2020/10/23, 11, , , 
2020/10/24, 17, , , 
2020/10/28, 29, , , 
2020/10/29, 10, , , 
2020/10/30, 18, , , 
2020/10/31, 21, , , 
2020/9/1, 14, , , 
2020/9/2, 15, , , 
2020/9/3, 25, , , 
2020/9/4, 20, , , 
2020/9/6, 22, , , 
2020/9/7, 12, , , 
2020/9/8, 22, , , 
2020/9/9, 19, , , 
2020/9/10, 8, , , 
2020/9/11, 19, , , 
2020/9/12, 6, , , 
2020/9/14, 11, , , 
2020/9/15, 7, , , 
2020/9/16, 10, , , 
2020/9/17, 20, , , 
2020/9/18, 24, , , 
2020/9/21, 12, , , 
2020/9/22, 13, , , 
2020/9/23, 36, , , 
2020/9/24, 56, , , 
2020/9/25, 59, , , 
2020/9/26, 24, , , 
2020/9/27, 11, , , 
2020/9/28, 18, , , 
2020/9/29, 16, , , 
2020/9/30, 14, , , 
2020/8/1, 48, , , 
2020/8/2, 28, , , 
2020/8/3, 22, , , 
2020/8/4, 22, , , 
2020/8/5, 19, , , 
2020/8/6, 35, , , 
2020/8/7, 27, , , 
2020/8/8, 17, , , 
2020/8/9, 23, , , 
2020/8/10, 43, , , 
2020/8/11, 37, , , 
2020/8/12, 48, , , 
2020/8/13, 57, , , 
2020/8/14, 29, , , 
2020/8/15, 23, , , 
2020/8/16, 11, , , 
2020/8/17, 21, , , 
2020/8/18, 17, , , 
2020/8/19, 32, , , 
2020/8/20, 15, , , 
2020/8/21, 29, , , 
2020/8/22, 31, , , 
2020/8/23, 29, , , 
2020/8/24, 22, , , 
2020/8/25, 36, , , 
2020/8/26, 18, , , 
2020/8/27, 32, , , 
2020/8/28, 35, , , 
2020/8/29, 19, , , 
2020/8/30, 15, , , 
2020/8/31, 17, , , 
2020/7/1, 25, 48, 11, 2
2020/7/2, 26, 46, 8, 2
2020/7/3, 42, 34, 3, 1
2020/7/4, 50, 55, 6, 2
2020/7/5, 40, 57, 14, 2
2020/7/6, 45, 35, 8, 1
2020/7/7, 15, 27, 4, 1
2020/7/8, 21, 22, 5, 1
2020/7/9, 15, 20, 6, 1
2020/7/10, 15, 29, 4, 1
2020/7/11, 27, 39, 3, 1
2020/7/12, 16, 45, 10, 1
2020/7/13, 11, 30, 12, 1
2020/7/14, 12, 35, 8, 1
2020/7/15, 15, 22, 3, 1
2020/7/16, 4, , , 
2020/7/17, 22, , , 
