date, pm25, pm10, o3, no2, so2, co
2020/11/1, 32, 12, 22, 10, , 1
2020/11/2, 22, 15, 23, 12, , 3
2020/11/3, 33, 22, 33, 9, , 6
2020/11/4, 55, 20, 29, 9, , 5
2020/11/5, 51, 16, 30, 9, , 4
2020/11/6, 40, 13, 16, 3, , 1
2020/11/7, 32, 12, 19, 1, , 1
2020/11/8, 28, 11, 20, 1, , 1
2020/11/9, 21, 12, 15, 2, , 1
2020/11/10, 28, 17, 8, 3, , 1
2020/11/11, 27, 16, 12, 6, , 2
2020/11/12, 35, 16, 25, 10, , 3
2020/11/13, 38, 20, 30, 7, , 4
2020/11/14, 51, 19, 22, 5, , 2
2020/11/15, 46, 10, 23, 9, , 2
2020/11/16, 18, 12, 24, 10, , 2
2020/11/17, 23, 10, 19, 13, , 3
2020/11/18, 23, 16, 26, 8, , 5
2020/11/19, 45, 19, 27, 10, , 5
2020/11/20, 50, 25, 25, 9, , 9
2020/11/21, 63, 25, 23, 6, , 8
2020/11/22, 66, 11, 20, 8, , 2
2020/11/23, 25, 14, 26, 6, , 2
2020/11/24, 35, 15, 24, 2, , 1
2020/11/25, 35, 17, 21, 4, , 2
2020/11/26, 34, 34, , 3, , 9
2020/11/27, 71, , , , , 
2020/10/1, 34, 15, 27, 8, , 2
2020/10/2, 23, 13, 29, 5, , 3
2020/10/3, 29, 18, 30, 3, , 5
2020/10/4, 49, 21, 32, 6, , 6
2020/10/5, 52, 18, 33, 4, , 4
2020/10/6, 45, 21, 29, 8, , 5
2020/10/7, 52, 27, 34, 8, , 6
2020/10/8, 61, 28, 12, 6, , 5
2020/10/9, 63, 18, 12, 1, , 1
2020/10/10, 41, 20, 11, 3, , 1
2020/10/11, 29, 23, 13, 3, , 2
2020/10/12, 33, 31, 28, 5, , 3
2020/10/13, 43, 18, 30, 5, , 3
2020/10/14, 38, 22, 24, 5, , 3
2020/10/15, 54, 17, 27, 5, , 2
2020/10/16, 41, 10, 26, 4, , 1
2020/10/17, 21, 14, 27, 3, , 2
2020/10/18, 36, 16, 30, 6, , 3
2020/10/19, 43, 19, 30, 4, , 4
2020/10/20, 47, 17, 22, 5, , 2
2020/10/21, 38, 16, 23, 3, , 2
2020/10/22, 32, 13, 23, 3, , 2
2020/10/23, 27, 14, 18, 2, , 3
2020/10/24, 29, 26, 15, 4, , 2
2020/10/25, 38, 21, 5, 2, , 2
2020/10/26, 37, 19, 9, 3, , 2
2020/10/27, 43, 20, 9, 1, , 1
2020/10/28, 38, 13, 20, 2, , 1
2020/10/29, 24, 9, 20, 5, , 1
2020/10/30, 24, 11, 23, 3, , 2
2020/10/31, 32, 12, 27, 2, , 1
2020/9/1, 39, 41, 21, 6, , 2
2020/9/2, 57, 53, 22, 5, , 3
2020/9/3, 72, 46, 25, 6, , 3
2020/9/4, 67, 14, 31, 5, , 2
2020/9/5, 31, 13, 32, 6, , 3
2020/9/6, 30, 15, 34, 7, , 4
2020/9/7, 38, 17, 33, 7, , 3
2020/9/8, 39, 12, 20, 4, , 1
2020/9/9, 28, 11, 20, 4, , 2
2020/9/10, 25, 12, 25, 4, , 2
2020/9/11, 24, 11, 14, 2, , 1
2020/9/12, 23, 12, 18, 2, , 1
2020/9/13, 27, 15, 19, 4, , 2
2020/9/14, 30, 14, 20, 2, , 1
2020/9/15, 30, 14, 20, 3, , 1
2020/9/16, 30, 5, 16, 2, , 1
2020/9/17, 7, 18, 19, 5, , 2
2020/9/18, 31, 23, 21, 2, , 2
2020/9/19, 55, 9, 26, 2, , 1
2020/9/20, 18, 11, 29, 5, , 1
2020/9/21, 19, 13, 30, 5, , 1
2020/9/22, 28, 19, 36, 9, , 4
2020/9/23, 41, 16, 15, 3, , 2
2020/9/24, 38, 18, 14, 3, , 2
2020/9/25, 28, 18, 23, 3, , 3
2020/9/26, 35, 20, 18, 1, , 2
2020/9/27, 43, 20, 24, 2, , 2
2020/9/28, 43, 14, 14, 6, , 1
2020/9/29, 28, 17, 25, 6, , 3
2020/9/30, 29, 20, 32, 5, , 4
2020/8/1, 49, 18, 32, 7, , 3
2020/8/2, 43, 21, 23, 4, , 2
2020/8/3, 38, 19, 37, 6, 1, 2
2020/8/4, 36, 19, 32, 7, , 3
2020/8/5, 43, 22, 28, 4, , 2
2020/8/6, 46, 20, 41, 4, , 2
2020/8/7, 48, 22, 44, 5, , 3
2020/8/8, 52, 20, 38, 3, , 2
2020/8/9, 52, 18, 33, 6, 1, 2
2020/8/10, 40, 21, 38, 8, 1, 3
2020/8/11, 45, 20, 36, 9, , 2
2020/8/12, 43, 17, 52, 6, 1, 3
2020/8/13, 37, 14, 27, 2, , 1
2020/8/14, 27, 17, 23, 3, , 1
2020/8/15, 30, 19, 31, 6, , 3
2020/8/16, 40, 22, 36, 9, , 5
2020/8/17, 51, 20, 36, 6, , 3
2020/8/18, 42, 17, 33, 4, , 2
2020/8/19, 41, 17, 23, 5, , 2
2020/8/20, 33, 14, 22, 4, , 1
2020/8/21, 23, 14, 25, 1, , 1
2020/8/22, 25, 18, 20, 1, , 1
2020/8/23, 30, 17, 10, 2, , 1
2020/8/24, 29, 15, 7, 4, , 1
2020/8/25, 19, 27, 20, 4, , 2
2020/8/26, 40, 32, 22, 1, 2, 2
2020/8/27, 43, 15, 12, 1, , 1
2020/8/28, 26, 17, 21, 3, , 2
2020/8/29, 33, 17, 28, 2, , 1
2020/8/30, 38, 19, 26, 4, , 2
2020/8/31, 33, 22, 30, 5, , 2
2020/7/1, 29, 21, 36, 8, , 3
2020/7/2, 34, 26, 37, 4, , 4
2020/7/3, 51, 32, 28, 5, , 5
2020/7/4, 72, 35, 24, 3, , 3
2020/7/5, 82, 15, 21, 2, , 1
2020/7/6, 32, 12, 21, 3, , 1
2020/7/7, 19, 16, 30, 4, , 2
2020/7/8, 27, 15, 36, 6, , 2
2020/7/9, 25, 16, 32, 7, , 3
2020/7/10, 30, 16, 38, 5, , 2
2020/7/11, 30, 15, 32, 7, , 3
2020/7/12, 33, 14, 37, 10, , 2
2020/7/13, 32, 18, 50, 8, , 3
2020/7/14, 38, 20, 35, 6, , 4
2020/7/15, 44, 21, 49, 6, , 2
2020/7/16, 40, 23, 38, 5, , 3
2020/7/17, 46, 20, 45, 5, , 3
2020/7/18, 49, 17, 36, 4, , 2
2020/7/19, 45, 21, 55, 10, , 4
2020/7/20, 49, 19, 38, 9, , 3
2020/7/21, 43, 19, 34, 4, , 2
2020/7/22, 32, 15, 21, 3, , 1
2020/7/23, 24, 13, 24, 4, , 1
2020/7/24, 21, 12, 25, 3, , 1
2020/7/25, 21, 13, 37, 3, , 2
2020/7/26, 23, 14, 34, 8, 2, 3
2020/7/27, 26, 14, 29, 5, 1, 3
2020/7/28, 26, 11, 17, 4, , 1
2020/7/29, 19, 18, 17, 4, 1, 1
2020/7/30, 31, 37, 20, 4, 1, 1
2020/7/31, 56, 29, 23, 4, , 2
2020/6/1, 40, 19, 37, 6, , 2
2020/6/2, 45, 21, 38, 7, , 3
2020/6/3, 50, 17, 35, 3, , 2
2020/6/4, 43, 16, 19, 5, , 2
2020/6/5, 32, 16, 36, 4, , 2
2020/6/6, 33, 12, 17, 1, , 1
2020/6/7, 20, 12, 14, 1, , 1
2020/6/8, 27, 16, 17, 1, , 1
2020/6/9, 32, 14, 12, 1, , 1
2020/6/10, 24, 18, 40, 4, , 1
2020/6/11, 29, 16, 36, 6, , 2
2020/6/12, 31, 15, 41, 8, , 3
2020/6/13, 34, 19, 32, 6, , 3
2020/6/14, 46, 16, 31, 6, , 2
2020/6/15, 35, 7, 29, 2, , 1
2020/6/16, 12, 9, 27, 7, , 2
2020/6/17, 20, 13, 35, 8, , 3
2020/6/18, 31, 15, 42, 8, , 4
2020/6/19, 39, 18, 47, 9, , 4
2020/6/20, 52, 19, 33, 6, , 4
2020/6/21, 54, 17, 31, 5, , 2
2020/6/22, 46, 10, 23, 3, , 1
2020/6/23, 25, 11, 26, 5, , 1
2020/6/24, 23, 15, 22, 4, , 1
2020/6/25, 27, 52, 22, 4, , 1
2020/6/26, 73, 58, 15, 6, , 1
2020/6/27, 83, 23, 17, 3, , 2
2020/6/28, 39, 20, 24, 5, , 2
2020/6/29, 37, 16, 21, 8, , 2
2020/6/30, 27, 18, 27, 5, , 2
2020/5/1, 25, 15, 55, 11, , 4
2020/5/2, 44, 15, 42, 6, , 4
2020/5/3, 41, 15, 40, 9, , 2
2020/5/4, 35, 18, 31, 6, , 2
2020/5/5, 47, 12, 33, 4, , 1
2020/5/6, 18, 9, 38, 7, , 2
2020/5/7, 20, 13, 24, 8, , 3
2020/5/8, 33, 10, 34, 4, , 2
2020/5/9, 20, 10, 40, 8, , 3
2020/5/10, 27, 10, 35, 9, , 2
2020/5/11, 22, 12, 44, 10, , 3
2020/5/12, 24, 17, 38, 6, , 3
2020/5/13, 35, 15, 35, 2, , 2
2020/5/14, 33, 14, 38, 2, , 1
2020/5/15, 29, 15, 33, 5, , 3
2020/5/16, 36, 15, 26, 4, , 2
2020/5/17, 34, 13, 24, 2, , 2
2020/5/18, 23, 11, 29, 4, , 2
2020/5/19, 21, 6, 16, 2, , 1
2020/5/20, 10, 9, 30, 3, , 2
2020/5/21, 21, 15, 34, 4, , 2
2020/5/22, 32, 19, 27, 3, , 2
2020/5/23, 37, 16, 29, 3, , 2
2020/5/24, 32, 17, 22, 3, , 2
2020/5/25, 37, 12, 20, 1, , 1
2020/5/26, 25, 11, 20, 2, , 1
2020/5/27, 23, 14, 26, 3, , 2
2020/5/28, 24, 19, 30, 3, , 3
2020/5/29, 35, 18, 36, 3, , 3
2020/5/30, 33, 16, 36, 6, , 2
2020/5/31, 34, 17, 30, 5, , 2
2020/4/1, 19, 9, 34, 11, , 2
2020/4/2, 22, 10, 41, 15, , 3
2020/4/3, 24, 15, 41, 11, , 3
2020/4/4, 41, 20, 43, 9, , 3
2020/4/5, 58, 32, 39, 15, , 3
2020/4/6, 75, 22, 30, 8, , 3
2020/4/7, 58, 15, 22, 5, , 2
2020/4/8, 44, 16, 33, 3, , 1
2020/4/9, 30, 13, 35, 4, , 1
2020/4/10, 23, 13, 40, 12, , 3
2020/4/11, 37, 19, 19, 5, , 
2020/4/12, 54, 15, 32, 2, , 
2020/4/13, 26, 10, 32, 5, , 1
2020/4/14, 25, 9, 36, 4, , 
2020/4/15, 23, 12, 40, 12, , 2
2020/4/16, 31, 14, 39, 8, , 3
2020/4/17, 42, 14, 33, 7, , 2
2020/4/18, 36, 11, 16, 5, , 3
2020/4/19, 35, 7, 33, 7, , 2
2020/4/20, 16, 13, 35, 8, , 2
2020/4/21, 32, 11, 35, 12, , 2
2020/4/22, 24, 9, 25, 4, , 2
2020/4/23, 21, 10, 25, 4, , 2
2020/4/24, 21, 12, , 3, , 3
2020/4/25, 28, 7, 31, 1, , 1
2020/4/26, 13, 9, 36, 8, , 2
2020/4/27, 20, 20, 39, 9, , 3
2020/4/28, 40, 18, 30, 4, , 2
2020/4/29, 39, 11, 23, 5, , 2
2020/4/30, 21, 11, 38, 8, , 2
2020/3/1, 49, 23, 26, 15, , 3
2020/3/2, 66, 12, 24, 5, , 2
2020/3/3, 29, 13, 16, 13, , 2
2020/3/4, 38, 6, 27, 7, , 1
2020/3/5, 18, 10, 30, 6, , 1
2020/3/6, 21, 8, 32, 9, , 2
2020/3/7, 25, 15, 34, 11, , 5
2020/3/8, 44, 18, 32, 13, , 3
2020/3/9, 44, 16, 27, 7, , 2
2020/3/10, 42, 12, 24, 7, , 2
2020/3/11, 32, 15, 25, 6, , 2
2020/3/12, 42, 14, 19, 8, , 1
2020/3/13, 35, 14, 30, 7, , 2
2020/3/14, 41, 9, 24, 6, , 2
2020/3/15, 29, 16, 20, 3, , 1
2020/3/16, 45, 24, 27, 13, , 2
2020/3/17, 64, 24, 21, 5, , 4
2020/3/18, 65, 19, 26, 6, , 2
2020/3/19, 56, 18, 29, 4, , 1
2020/3/20, 43, 10, 27, 4, , 1
2020/3/21, 22, 11, 17, 2, , 2
2020/3/22, 35, 9, 12, 3, , 2
2020/3/23, 25, 12, 14, 4, , 2
2020/3/24, 26, 10, 31, 7, , 2
2020/3/25, 21, 15, 35, 8, , 3
2020/3/26, 35, 22, 40, 8, , 4
2020/3/27, 57, 19, 25, 5, , 1
2020/3/28, 52, 17, 35, 4, , 1
2020/3/29, 40, 14, 37, 8, , 1
2020/3/30, 27, 15, 28, 7, , 1
2020/3/31, 37, 7, 29, 4, , 1
2020/2/1, 45, 8, 29, 12, , 3
2020/2/2, 21, 12, 32, 15, , 4
2020/2/3, 29, 10, 28, 6, , 1
2020/2/4, 27, 11, 23, 2, , 1
2020/2/5, 33, 8, 18, 4, , 1
2020/2/6, 15, 4, 20, 6, , 1
2020/2/7, 12, 12, 8, 13, , 3
2020/2/8, 44, 10, 23, 4, , 1
2020/2/9, 36, 11, 11, 10, , 2
2020/2/10, 41, 11, 14, 3, , 1
2020/2/11, 25, 12, 15, 4, , 1
2020/2/12, 30, 7, 20, 4, , 1
2020/2/13, 17, 8, 25, 6, , 1
2020/2/14, 24, 9, 29, 10, , 2
2020/2/15, 28, 13, 16, 7, , 2
2020/2/16, 46, 9, 20, 5, , 1
2020/2/17, 29, 8, 9, 7, , 2
2020/2/18, 21, 10, 19, 9, , 2
2020/2/19, 27, 6, 21, 6, , 1
2020/2/20, 18, 9, 24, 8, , 2
2020/2/21, 30, 13, 24, 17, , 5
2020/2/22, 41, 14, 29, 13, , 6
2020/2/23, 41, 12, 22, 12, , 3
2020/2/24, 38, 11, 18, 14, , 2
2020/2/25, 29, 10, 23, 8, , 2
2020/2/26, 23, 7, 28, 8, , 1
2020/2/27, 18, 12, 30, 15, , 3
2020/2/28, 30, 8, 31, 11, , 2
2020/2/29, 21, 16, 37, 11, , 4
2020/1/1, 22, 14, 16, 10, , 4
2020/1/2, 42, 13, 7, 13, , 3
2020/1/3, 32, 8, 25, 3, , 1
2020/1/4, 19, 8, 23, 8, , 2
2020/1/5, 26, 12, 24, 16, , 5
2020/1/6, 31, 11, 29, 8, , 2
2020/1/7, 27, 11, 27, 19, , 4
2020/1/8, 22, 16, 31, 11, , 5
2020/1/9, 43, 15, 25, 6, , 2
2020/1/10, 38, 11, 21, 1, , 1
2020/1/11, 24, 10, 23, 6, , 2
2020/1/12, 22, 11, 13, 7, , 2
2020/1/13, 25, 9, 14, 11, , 2
2020/1/14, 15, 10, 13, 10, , 2
2020/1/15, 19, 10, 22, 6, , 1
2020/1/16, 23, 7, 26, 7, , 2
2020/1/17, 16, 11, 24, 6, , 2
2020/1/18, 30, 7, 27, 4, , 2
2020/1/19, 15, 10, 21, 5, , 1
2020/1/20, 32, 11, 20, 12, , 2
2020/1/21, 38, 15, 27, 15, , 3
2020/1/22, 46, 11, 26, 6, , 2
2020/1/23, 30, 9, 15, 11, , 3
2020/1/24, 29, 7, 18, 6, , 3
2020/1/25, 22, 9, 21, 9, , 2
2020/1/26, 31, 12, 18, 15, , 3
2020/1/27, 34, 12, 24, 15, , 4
2020/1/28, 31, 13, 20, 14, , 5
2020/1/29, 35, 15, 29, 12, , 4
2020/1/30, 47, 12, 18, 8, , 2
2020/1/31, 44, 13, 18, 6, , 2
2019/10/1, 58, 23, 54, 13, , 4
2019/10/2, 60, 25, 64, 17, 1, 5
2019/10/3, 62, 22, 54, 16, , 5
2019/10/4, 53, 22, 24, 7, , 2
2019/10/5, 45, 16, 22, 3, , 1
2019/10/6, 32, 16, 29, 7, , 2
2019/10/7, 30, 13, 32, 9, , 2
2019/10/8, 24, 12, 23, 5, , 1
2019/10/9, 25, 15, 31, 9, , 3
2019/10/10, 31, 15, 36, 9, , 4
2019/10/11, 34, 16, 33, 9, , 4
2019/10/12, 37, 11, 9, 8, , 2
2019/10/13, 26, 12, 26, 13, , 3
2019/10/14, 26, 15, 17, 9, , 4
2019/10/15, 36, 11, 23, 6, , 2
2019/10/16, 20, 10, 23, 12, , 2
2019/10/17, 21, 11, 28, 9, , 3
2019/10/18, 28, 8, 23, 3, , 2
2019/10/19, 19, 9, 21, 4, , 2
2019/10/20, 19, 15, 22, 3, , 4
2019/10/21, 34, 14, 26, 8, , 2
2019/10/22, 23, 10, 29, 9, , 3
2019/10/23, 18, 11, 31, 8, , 4
2019/10/24, 25, 15, 23, 5, , 2
2019/10/25, 32, 13, 19, 1, , 1
2019/10/26, 28, 12, 23, 5, , 2
2019/10/27, 25, 13, 25, 8, , 4
2019/10/28, 33, 18, 18, 6, , 5
2019/10/29, 47, 13, 10, 2, , 2
2019/10/30, 27, 10, 13, 3, , 1
2019/10/31, 20, 10, 19, 8, , 2
2019/11/1, 30, 14, 22, 9, 2, 4
2019/11/2, 43, 11, 31, 10, , 3
2019/11/3, 30, 14, 22, 7, , 5
2019/11/4, 40, 16, 19, 11, , 3
2019/11/5, 44, 20, 31, 9, , 4
2019/11/6, 52, 20, 24, 6, , 2
2019/11/7, 53, 12, 14, 8, , 2
2019/11/8, 34, 13, 28, 6, , 3
2019/11/9, 37, 17, 29, 10, , 7
2019/11/10, 50, 20, 26, 10, , 6
2019/11/11, 52, 10, 19, 6, , 2
2019/11/12, 25, 9, 27, 8, , 2
2019/11/13, 26, 14, 18, 11, , 2
2019/11/14, 43, 15, 13, 13, , 3
2019/11/15, 48, 15, 26, 10, , 3
2019/11/16, 43, 13, 28, 7, , 3
2019/11/17, 37, 15, 31, 9, 1, 2
2019/11/18, 40, 20, 25, 14, , 3
2019/11/19, 48, 12, 25, 15, , 3
2019/11/20, 31, 17, 28, 11, , 5
2019/11/21, 45, 25, 22, 10, , 4
2019/11/22, 64, 17, 21, 4, , 2
2019/11/23, 45, 7, 21, 5, 1, 2
2019/11/24, 21, 15, 22, 13, , 4
2019/11/25, 42, 19, 30, 8, , 5
2019/11/26, 50, 15, 28, 5, 1, 2
2019/11/27, 33, 8, 26, 4, , 1
2019/11/28, 17, 12, 22, 12, , 3
2019/11/29, 30, 22, 30, 7, , 5
2019/11/30, 53, 11, 30, 2, , 1
2019/12/1, 18, 6, 18, 4, , 1
2019/12/2, 12, 9, 20, 7, 2, 2
2019/12/3, 25, 12, 27, 15, , 2
2019/12/4, 29, 12, 23, 21, , 4
2019/12/5, 24, 23, 17, 20, , 8
2019/12/6, 54, 23, 27, 13, , 5
2019/12/7, 63, 14, 26, 3, , 2
2019/12/8, 42, 19, 19, 6, , 2
2019/12/9, 43, 10, 21, 6, , 2
2019/12/10, 27, 6, 23, 10, , 2
2019/12/11, 17, 9, 27, 10, , 3
2019/12/12, 24, 6, 17, 8, , 2
2019/12/13, 19, 11, 21, 8, , 3
2019/12/14, 30, 18, 22, 6, , 4
2019/12/15, 56, 15, 26, 8, , 2
2019/12/16, 46, 9, 18, 4, , 1
2019/12/17, 21, 10, 25, 8, 1, 2
2019/12/18, 30, 14, 25, 14, , 3
2019/12/19, 39, 17, 24, 18, , 7
2019/12/20, 49, 16, 21, 8, , 2
2019/12/21, 51, 11, 27, 4, , 2
2019/12/22, 36, 3, 25, 3, , 1
2019/12/23, 5, 6, 27, 6, , 3
2019/12/24, 10, 14, 29, 7, , 7
2019/12/25, 37, 19, 23, 11, , 7
2019/12/26, 50, 19, 15, 12, , 5
2019/12/27, 50, 15, 22, 4, , 2
2019/12/28, 39, 8, 17, 1, , 1
2019/12/29, 17, , , , , 
