,Date,Total Traveler Throughput,Total Traveler Throughput(1 Year Ago - Same Weekday)
0,8/20/2020,772380,2533184
1,8/19/2020,586718,2306838
2,8/18/2020,565946,2247446
3,8/17/2020,773319,2576965
4,8/16/2020,862949,2584444
5,8/15/2020,689895,2171962
6,8/14/2020,783744,2627564
7,8/13/2020,761821,2602446
8,8/12/2020,590749,2391906
9,8/11/2020,559420,2306829
10,8/10/2020,761861,2567986
11,8/9/2020,831789,2647897
12,8/8/2020,683212,2290340
13,8/7/2020,762547,2725000
14,8/6/2020,743599,2707986
15,8/5/2020,595739,2430094
16,8/4/2020,543601,2387115
17,8/3/2020,737235,2619406
18,8/2/2020,799861,2688640
19,8/1/2020,709033,2367967
20,7/31/2020,767320,2730936
21,7/30/2020,718310,2742882
22,7/29/2020,573200,2542365
23,7/28/2020,536756,2438967
24,7/27/2020,700043,2613346
25,7/26/2020,751205,2700723
26,7/25/2020,649027,2364925
27,7/24/2020,724770,2732770
28,7/23/2020,704815,2705399
29,7/22/2020,570951,2561911
30,7/21/2020,530421,2499460
31,7/20/2020,695330,2635312
32,7/19/2020,747422,2727355
33,7/18/2020,646654,2396462
34,7/17/2020,720378,2776960
35,7/16/2020,706164,2716828
36,7/15/2020,589285,2522563
37,7/14/2020,540268,2447177
38,7/13/2020,697985,2615115
39,7/12/2020,754545,2669717
40,7/11/2020,656284,2312178
41,7/10/2020,711124,2716812
42,7/9/2020,709653,2608209
43,7/8/2020,632498,2515902
44,7/7/2020,641761,2506859
45,7/6/2020,755555,2748718
46,7/5/2020,732123,2795369
47,7/4/2020,466669,2345846
48,7/3/2020,718988,2184253
49,7/2/2020,764761,2088760
50,7/1/2020,626516,2547889
51,6/30/2020,500054,2347767
52,6/29/2020,625235,2455536
53,6/28/2020,633810,2632030
54,6/27/2020,546310,2368846
55,6/26/2020,632984,2730515
56,6/25/2020,623624,2711222
57,6/24/2020,494826,2594661
58,6/23/2020,471421,2506510
59,6/22/2020,607540,2716428
60,6/21/2020,590456,2719643
61,6/20/2020,507129,2378559
62,6/19/2020,587908,2772903
63,6/18/2020,576514,2728786
64,6/17/2020,441829,2552395
65,6/16/2020,417924,2466574
66,6/15/2020,534528,2699580
67,6/14/2020,544046,2642083
68,6/13/2020,437119,2318946
69,6/12/2020,519304,2727860
70,6/11/2020,502209,2675686
71,6/10/2020,386969,2509058
72,6/9/2020,338382,2433189
73,6/8/2020,430414,2644981
74,6/7/2020,441255,2669860
75,6/6/2020,353016,2225952
76,6/5/2020,419675,2649808
77,6/4/2020,391882,2623947
78,6/3/2020,304436,2370152
79,6/2/2020,267742,2247421
80,6/1/2020,353261,2499002
81,5/31/2020,352947,2555578
82,5/30/2020,268867,2117180
83,5/29/2020,327133,2570613
84,5/28/2020,321776,2485770
85,5/27/2020,261170,2269035
86,5/26/2020,264843,2453649
87,5/25/2020,340769,2512237
88,5/24/2020,267451,2070716
89,5/23/2020,253190,2124825
90,5/22/2020,348673,2792670
91,5/21/2020,318449,2673635
92,5/20/2020,230367,2472123
93,5/19/2020,190477,2312727
94,5/18/2020,244176,2615691
95,5/17/2020,253807,2620276
96,5/16/2020,193340,2091116
97,5/15/2020,250467,2664549
98,5/14/2020,234928,2611324
99,5/13/2020,176667,2343675
100,5/12/2020,163205,2191387
101,5/11/2020,215645,2512315
102,5/10/2020,200815,2419114
103,5/9/2020,169580,1985942
104,5/8/2020,215444,2602631
105,5/7/2020,190863,2555342
106,5/6/2020,140409,2270662
107,5/5/2020,130601,2106597
108,5/4/2020,163692,2470969
109,5/3/2020,170254,2512598
110,5/2/2020,134261,1968278
