,Date,Total Traveler Throughput,Total Traveler Throughput(1 Year Ago - Same Weekday)
0,2020/08/20,772380,2533184
1,2020/08/19,586718,2306838
2,2020/08/18,565946,2247446
3,2020/08/17,773319,2576965
4,2020/08/16,862949,2584444
5,2020/08/15,689895,2171962
6,2020/08/14,783744,2627564
7,2020/08/13,761821,2602446
8,2020/08/12,590749,2391906
9,2020/08/11,559420,2306829
10,2020/08/10,761861,2567986
11,2020/08/09,831789,2647897
12,2020/08/08,683212,2290340
13,2020/08/07,762547,2725000
14,2020/08/06,743599,2707986
15,2020/08/05,595739,2430094
16,2020/08/04,543601,2387115
17,2020/08/03,737235,2619406
18,2020/08/02,799861,2688640
19,2020/08/01,709033,2367967
20,2020/07/31,767320,2730936
21,2020/07/30,718310,2742882
22,2020/07/29,573200,2542365
23,2020/07/28,536756,2438967
24,2020/07/27,700043,2613346
25,2020/07/26,751205,2700723
26,2020/07/25,649027,2364925
27,2020/07/24,724770,2732770
28,2020/07/23,704815,2705399
29,2020/07/22,570951,2561911
30,2020/07/21,530421,2499460
31,2020/07/20,695330,2635312
32,2020/07/19,747422,2727355
33,2020/07/18,646654,2396462
34,2020/07/17,720378,2776960
35,2020/07/16,706164,2716828
36,2020/07/15,589285,2522563
37,2020/07/14,540268,2447177
38,2020/07/13,697985,2615115
39,2020/07/12,754545,2669717
40,2020/07/11,656284,2312178
41,2020/07/10,711124,2716812
42,2020/07/09,709653,2608209
43,2020/07/08,632498,2515902
44,2020/07/07,641761,2506859
45,2020/07/06,755555,2748718
46,2020/07/05,732123,2795369
47,2020/07/04,466669,2345846
48,2020/07/03,718988,2184253
49,2020/07/02,764761,2088760
50,2020/07/01,626516,2547889
51,2020/06/30,500054,2347767
52,2020/06/29,625235,2455536
53,2020/06/28,633810,2632030
54,2020/06/27,546310,2368846
55,2020/06/26,632984,2730515
56,2020/06/25,623624,2711222
57,2020/06/24,494826,2594661
58,2020/06/23,471421,2506510
59,2020/06/22,607540,2716428
60,2020/06/21,590456,2719643
61,2020/06/20,507129,2378559
62,2020/06/19,587908,2772903
63,2020/06/18,576514,2728786
64,2020/06/17,441829,2552395
65,2020/06/16,417924,2466574
66,2020/06/15,534528,2699580
67,2020/06/14,544046,2642083
68,2020/06/13,437119,2318946
69,2020/06/12,519304,2727860
70,2020/06/11,502209,2675686
71,2020/06/10,386969,2509058
72,2020/06/09,338382,2433189
73,2020/06/08,430414,2644981
74,2020/06/07,441255,2669860
75,2020/06/06,353016,2225952
76,2020/06/05,419675,2649808
77,2020/06/04,391882,2623947
78,2020/06/03,304436,2370152
79,2020/06/02,267742,2247421
80,2020/06/01,353261,2499002
81,2020/05/31,352947,2555578
82,2020/05/30,268867,2117180
83,2020/05/29,327133,2570613
84,2020/05/28,321776,2485770
85,2020/05/27,261170,2269035
86,2020/05/26,264843,2453649
87,2020/05/25,340769,2512237
88,2020/05/24,267451,2070716
89,2020/05/23,253190,2124825
90,2020/05/22,348673,2792670
91,2020/05/21,318449,2673635
92,2020/05/20,230367,2472123
93,2020/05/19,190477,2312727
94,2020/05/18,244176,2615691
95,2020/05/17,253807,2620276
96,2020/05/16,193340,2091116
