,Date,Total Traveler Throughput,Total Traveler Throughput (1 Year Ago - Same Weekday)
0,2020/12/09,564372,2020488
1,2020/12/08,501513,1897051
2,2020/12/07,703546,2226290
3,2020/12/06,837137,2292079
4,2020/12/05,629430,1755801
5,2020/12/04,753951,2278205
6,2020/12/03,738050,2262878
7,2020/12/02,632356,2054380
8,2020/12/01,780283,2280403
9,2020/11/30,981912,2591470
10,2020/11/29,1176091,2882915
11,2020/11/28,964630,2648268
12,2020/11/27,820399,1968137
13,2020/11/26,560902,1591158
14,2020/11/25,1070967,2624250
15,2020/11/24,912090,2435170
16,2020/11/23,917354,2254188
17,2020/11/22,1047934,2321546
18,2020/11/21,984369,2194291
19,2020/11/20,1019836,2550459
20,2020/11/19,907332,2428095
21,2020/11/18,703135,2071631
22,2020/11/17,611497,1900895
23,2020/11/16,883157,2298856
24,2020/11/15,978297,2396681
25,2020/11/14,697360,1807230
26,2020/11/13,881579,2437211
27,2020/11/12,866679,2364920
28,2020/11/11,674633,2072207
29,2020/11/10,596475,2150003
30,2020/11/09,836600,2465392
31,2020/11/08,973020,2356349
32,2020/11/07,689951,1908805
33,2020/11/06,895091,2544350
34,2020/11/05,867105,2507365
35,2020/11/04,636533,2147882
36,2020/11/03,575829,2005101
37,2020/11/02,846138,2403304
38,2020/11/01,936092,2459525
39,2020/10/31,618476,1836781
40,2020/10/30,892712,2319906
41,2020/10/29,873636,2047910
42,2020/10/28,666957,2066516
43,2020/10/27,648517,1910506
44,2020/10/26,898735,2347017
45,2020/10/25,983745,2478287
46,2020/10/24,755287,1931971
47,2020/10/23,958437,2594337
48,2020/10/22,934386,2541581
49,2020/10/21,694150,2245199
50,2020/10/20,662484,2126637
51,2020/10/19,921031,2514673
52,2020/10/18,1031505,2606266
53,2020/10/17,788743,2049855
54,2020/10/16,973046,2637667
55,2020/10/15,950024,2581007
56,2020/10/14,717940,2317763
57,2020/10/13,680894,2313632
58,2020/10/12,958440,2616771
59,2020/10/11,984234,2555333
60,2020/10/10,769868,2074718
61,2020/10/09,968545,2688032
62,2020/10/08,936915,2605291
63,2020/10/07,668519,2215233
64,2020/10/06,590766,2035628
65,2020/10/05,816838,2400153
66,2020/10/04,900911,2542118
67,2020/10/03,677661,1921185
68,2020/10/02,857186,2526835
69,2020/10/01,855908,2447687
70,2020/09/30,634046,2082179
71,2020/09/29,568688,1998980
72,2020/09/28,797699,2368818
73,2020/09/27,873038,2452596
74,2020/09/26,659350,1966234
75,2020/09/25,826329,2547611
76,2020/09/24,826316,2510926
77,2020/09/23,608726,2188236
78,2020/09/22,549741,2033490
79,2020/09/21,769936,2431388
80,2020/09/20,847968,2517826
81,2020/09/19,638575,1938402
82,2020/09/18,812214,2571924
83,2020/09/17,784746,2455410
84,2020/09/16,577847,2146857
85,2020/09/15,522383,2013050
86,2020/09/14,729558,2405832
87,2020/09/13,809850,2485134
88,2020/09/12,613703,1879822
89,2020/09/11,731353,2484025
90,2020/09/10,755051,2449302
91,2020/09/09,616923,2005867
92,2020/09/08,704075,1943379
93,2020/09/07,935308,2292985
94,2020/09/06,689630,2370003
95,2020/09/05,664640,1755502
96,2020/09/04,968673,2198828
97,2020/09/03,877698,2109858
98,2020/09/02,578131,1889044
99,2020/09/01,516068,2037750
100,2020/08/31,711178,2278159
101,2020/08/30,807695,1887845
102,2020/08/29,591734,1954902
103,2020/08/28,738873,2658558
104,2020/08/27,721060,2561109
105,2020/08/26,540043,2188688
106,2020/08/25,523186,2015088
107,2020/08/24,726788,2358007
108,2020/08/23,841806,2493162
109,2020/08/22,625822,2039233
110,2020/08/21,764468,2559244
111,2020/08/20,772380,2533184
112,2020/08/19,586718,2306838
113,2020/08/18,565946,2247446
114,2020/08/17,773319,2576965
115,2020/08/16,862949,2584444
116,2020/08/15,689895,2171962
117,2020/08/14,783744,2627564
118,2020/08/13,761821,2602446
119,2020/08/12,590749,2391906
120,2020/08/11,559420,2306829
121,2020/08/10,761861,2567986
122,2020/08/09,831789,2647897
123,2020/08/08,683212,2290340
124,2020/08/07,762547,2725000
125,2020/08/06,743599,2707986
